Shift_group,subset,Location,RGB,prealign_top,prealign_bottom,prealign_left,prealign_right,Align_file,D,GS,aligned_top,aligned_bottom,aligned_left,aligned_right
pre_shift,subset_a,GTC_7,chromagrid_I5.0_F1.9_L100LED30_133853_0_0_0_rgb_pre-densenet,439,1540,277,1725,chromagrid_I5.0_F1.9_L100LED30_133853_0_0_0_rgb_D0.52_GS0.62.jpg,0.52,0.62,99,1252,285,1227
pre_shift,subset_b,GTH_3,chromagrid_I5.0_F1.9_L100LED30_110504_0_0_0_rgb_pre-densenet,432,1527,270,1710,chromagrid_I5.0_F1.9_L100LED30_110504_0_0_0_rgb_D0.54_GS0.70.jpg,0.54,0.7,100,1252,283,1225
post_shift,subset_a,GTW_10,chromagrid_I5.0_F1.9_L100LED30_124643_0_0_0_rgb_pre-densenet,469.5,1584,230,1688,chromagrid_I5.0_F1.9_L100LED30_124643_0_0_0_rgb_D0.66_GS0.72.jpg,0.66,0.72,98,1254,280,1228
post_shift,subset_b,GTDD_3,chromagrid_I5.0_F1.9_L100LED30_102651_0_0_0_rgb_pre-densenet,504,1613,267,1722,chromagrid_I5.0_F1.9_L100LED30_102651_0_0_0_rgb_D0.60_GS0.85.jpg,0.6,0.85,128,1284,346,1278
post_shift,subset_c,GTLL_3,chromagrid_F1.9_I5.0_L100LED30_102232_0_0_0_rgb_pre-densenet,501,1617,240,1701,chromagrid_F1.9_I5.0_L100LED30_102232_0_0_0_rgb_D0.55_GS0.65.jpg,0.55,0.65,109,1266,342,1280
post_shift,subset_d,GTUU_3,chromagrid_I5.0_F1.9_L100LED30_171422_0_0_0_rgb_pre-densenet,486,1602,221,1682,chromagrid_I5.0_F1.9_L100LED30_171422_0_0_0_rgb_D0.50_GS0.60.jpg,0.5,0.6,95,1246,330,1266
