Phase ,Timepoint,group
GTS,wk10,Grids_post_shift/subset_a
GTT,wk10,Grids_post_shift/subset_a
GTU,wk10,Grids_post_shift/subset_a
GTV,wk10,Grids_post_shift/subset_a
GTW,wk10,Grids_post_shift/subset_a
GTX,wk10,Grids_post_shift/subset_a
GTY,wk10,Grids_post_shift/subset_a
GTZ,wk10,Grids_post_shift/subset_b
GTAA,wk10,Grids_post_shift/subset_b
GTBB,wk10,Grids_post_shift/subset_b
GTCC,wk13,Grids_post_shift/subset_c
GTDD,wk12,Grids_post_shift/subset_c
GTEE,wk13,Grids_post_shift/subset_c
GTFF,wk10,Grids_post_shift/subset_c
GTGG,wk10,Grids_post_shift/subset_b
GTHH,wk10,Grids_post_shift/subset_b
GTII,wk10,Grids_post_shift/subset_b
GTJJ,wk10,Grids_post_shift/subset_b
GTKK,wk10,Grids_post_shift/subset_c
GTLL,wk10,Grids_post_shift/subset_c
GTMM,wk10,Grids_post_shift/subset_c
GTNN,wk10,Grids_post_shift/subset_c
GTOO,wk10,Grids_post_shift/subset_c
GTPP,wk10,Grids_post_shift/subset_c
GTQQ,wk10,Grids_post_shift/subset_c
GTRR,wk10,Grids_post_shift/subset_d
GTSS,wk10,Grids_post_shift/subset_d
GTTT,wk10,Grids_post_shift/subset_d
GTUU,wk10,Grids_post_shift/subset_d
GTVV,wk10,Grids_post_shift/subset_d
GTWW,wk10,Grids_post_shift/subset_d
GTXX,wk10,Grids_post_shift/subset_d
GTYY,wk10,Grids_post_shift/subset_d
GTZZ,wk10,Grids_post_shift/subset_d
GTAAA,wk10,Grids_post_shift/subset_d
GTBBB,wk10,Grids_post_shift/subset_d
GTCCC,wk10,Grids_post_shift/subset_d
GTDDD,wk10,Grids_post_shift/subset_d
GTEEE,wk10,Grids_post_shift/subset_d
GTFFF,wk10,Grids_post_shift/subset_d
GTHHH,wk10,Grids_post_shift/subset_d
