dirs,phase,timepoint,phase_timepoint,is_duplicated
Missing,GTFF,wk7,GTFF_wk7,FALSE
Missing,GTFFF,wk10,GTFFF_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTFFF/wk3,GTFFF,wk3,GTFFF_wk3,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTFFF/wk7,GTFFF,wk7,GTFFF_wk7,FALSE
/media//gmobot/Elements_11/GWAS_Transformation/GTG/wk10,GTG,wk10,GTG_wk10,FALSE
/media//gmobot/Elements_9/GWAS_Transformation/GTG/wk3,GTG,wk3,GTG_wk3,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTG/wk7,GTG,wk7,GTG_wk7,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTGG/wk10,GTGG,wk10,GTGG_wk10,FALSE
/media//gmobot/Elements/GWAS_Transformation/GTGG/wk3,GTGG,wk3,GTGG_wk3,FALSE
Missing,GTGG,wk7,GTGG_wk7,FALSE
/media//gmobot/Elements/GWAS_Transformation/GTGG/wk8,GTGG,wk8,GTGG_wk8,FALSE
Missing,GTGGG,wk10,GTGGG_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTGGG/wk3,GTGGG,wk3,GTGGG_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTGGG/wk7,GTGGG,wk7,GTGGG_wk7,FALSE
/media//gmobot/Elements_8/GoogleDrive/Images_Elements_8/GWAS_Transformation/GTH/wk10,GTH,wk10,GTH_wk10,FALSE
/media//gmobot/Elements_9/GWAS_Transformation/GTH/wk3,GTH,wk3,GTH_wk3,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTH/wk7,GTH,wk7,GTH_wk7,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTHH/wk10,GTHH,wk10,GTHH_wk10,FALSE
/media//gmobot/Elements/GWAS_Transformation/GTHH/wk3,GTHH,wk3,GTHH_wk3,FALSE
/media//gmobot/Elements_13/Elements_13/GWAS_Transformation/GTHH/wk7,GTHH,wk7,GTHH_wk7,FALSE
Missing,GTHHH,wk10,GTHHH_wk10,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTHHH/wk3,GTHHH,wk3,GTHHH_wk3,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTHHH/wk7,GTHHH,wk7,GTHHH_wk7,FALSE
/media//gmobot/Elements_12/Elements_12/GWAS_Transformation/GTI/wk10,GTI,wk10,GTI_wk10,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTI/wk3,GTI,wk3,GTI_wk3,FALSE
/media//gmobot/Elements_11/GWAS_Transformation/GTI/wk7,GTI,wk7,GTI_wk7,FALSE
