Image#,Tray_ID,Plate ID,Treatment,Genotype  GWAS # in GH,Genotype_ID,Block,Date collected,Date on media,Location of plants,Note,Randomized #
17,GTOOO3,9112,CTR,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022,59
18,GTOOO3,9115,AS,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022,60
19,GTOOO3,9166,CTR,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022,61
20,GTOOO3,9169,AS,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022,62
21,GTOOO3,9184,CTR,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022,63
1,GTOOO4,9187,AS,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022,64
2,GTOOO4,9119,CTR,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022,65
3,GTOOO4,9122,AS,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022,66
4,GTOOO4,9179,CTR,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022,67
5,GTOOO4,9182,AS,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022,68
6,GTOOO4,9125,CTR,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,69
7,GTOOO4,9128,AS,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,70
8,GTOOO4,9173,CTR,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022,71
9,GTOOO4,9176,AS,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022,72
10,GTOOO4,9137,CTR,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,73
11,GTOOO4,9140,AS,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,74
12,GTOOO4,9095,CTR,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022,75
13,GTOOO4,9098,AS,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022,76
14,GTOOO4,9155,CTR,"4192, 4193",BESC-223,B3,6/28/22,6/30/22,E14,New plants 2022,77
15,GTOOO4,9158,AS,"4192, 4193",BESC-223,B3,6/28/22,6/30/22,E14,New plants 2022,78
16,GTOOO4,9143,CTR,"4961, 4962",YALD-27-5,B3,6/28/22,6/30/22,E15,New plants 2022,79
17,GTOOO4,9146,AS,"4961, 4962",YALD-27-5,B3,6/28/22,6/30/22,E15,New plants 2022,80
18,GTOOO4,9101,CTR,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022,81
19,GTOOO4,9104,AS,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022,82
20,GTOOO4,9107,CTR,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022,83
21,GTOOO4,9110,AS,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022,84
,GTOOO5,9149,CTR,"4118, 4119",BESC-1236,B3,6/28/22,6/30/22,E14,New plants 2022,85
,GTOOO5,9152,AS,"4118, 4119",BESC-1236,B3,6/28/22,6/30/22,E14,New plants 2022,86
,GTOOO5,9131,CTR,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022,87
,GTOOO5,9134,AS,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022,88
,GTOOO5,9161,CTR,4200,BESC-227,B3,6/28/22,6/30/22,E14,New plants 2022,89
,GTOOO5,9164,AS,4200,BESC-227,B3,6/28/22,6/30/22,E14,New plants 2022,90
,GTOOO5,9113,CTR,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022,91
,GTOOO5,9116,AS,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022,92
,GTOOO5,9167,CTR,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022,93
,GTOOO5,9170,AS,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022,94
,GTOOO5,9185,CTR,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022,95
,GTOOO5,9188,AS,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022,96
