Plate ID,Treatment,Genotype  GWAS # in GH,Genotype_ID,Block,Date collected,Date on media,Location of plants,Note
9166,CTR,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022
9167,CTR,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022
9168,AS,4349,BESC-394,B1,6/28/22,6/30/22,E14,New plants 2022
9169,AS,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022
9170,AS,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022
9171,CTR,4404,BESC-455,B1,6/28/22,6/30/22,E14,New plants 2022
9172,CTR,4404,BESC-455,B2,6/28/22,6/30/22,E14,New plants 2022
9173,CTR,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022
9174,AS,4404,BESC-455,B1,6/28/22,6/30/22,E14,New plants 2022
9175,AS,4404,BESC-455,B2,6/28/22,6/30/22,E14,New plants 2022
9176,AS,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022
9177,CTR,4413,BESC-463,B1,6/28/22,6/30/22,E14,New plants 2022
9178,CTR,4413,BESC-463,B2,6/28/22,6/30/22,E14,New plants 2022
9179,CTR,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022
9180,AS,4413,BESC-463,B1,6/28/22,6/30/22,E14,New plants 2022
9181,AS,4413,BESC-463,B2,6/28/22,6/30/22,E14,New plants 2022
9182,AS,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022
9183,CTR,4436,BESC-63,B1,6/28/22,6/30/22,E14,New plants 2022
9184,CTR,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022
9185,CTR,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022
9186,AS,4436,BESC-63,B1,6/28/22,6/30/22,E14,New plants 2022
9187,AS,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022
9188,AS,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022
